"","x"
"1","ACAD US Equity"
"2","TSRO US Equity"
"3","NTRA US Equity"
"4","RVNC US Equity"
"5","SRPT US Equity"
"6","FOLD US Equity"
"7","AIMT US Equity"
"8","SGYP US Equity"
"9","HRTX US Equity"
"10","ALDR US Equity"
"11","AXON US Equity"
"12","RDUS US Equity"
"13","ITCI US Equity"
"14","AERI US Equity"
"15","INSM US Equity"
"16","CLVS US Equity"
"17","PBYI US Equity"
"18","NBIX US Equity"
"19","GEN US Equity"
"20","LXRX US Equity"
"21","UNH US Equity"
"22","AXDX US Equity"
"23","SAGE US Equity"
"24","ARRY US Equity"
"25","RARE US Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
